epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,48.2639,0.73924,0.3794,0.6025,0.87884,0.99148,1,0.995,0.83943,0.99148,1,0.995,0.91981,0.65562,0.46208,0.56188,0.86746,0.00194588,0.00194588,0.00194588
84,48.8147,0.76647,0.46346,0.62187,0.8973,0.99214,1,0.995,0.83602,0.99214,1,0.995,0.93491,0.65545,0.40603,0.52108,0.87996,0.00194522,0.00194522,0.00194522
85,49.4507,0.69146,0.49611,0.60126,0.90535,0.98824,1,0.995,0.80808,0.98824,1,0.995,0.88538,0.75184,0.39134,0.54234,0.91397,0.00194456,0.00194456,0.00194456
86,49.9967,0.69502,0.42907,0.61658,0.90377,0.98265,1,0.995,0.83285,0.98265,1,0.995,0.90645,0.74084,0.39174,0.63249,0.92598,0.0019439,0.0019439,0.0019439
87,50.564,0.67934,0.38945,0.60605,0.90282,0.98365,1,0.995,0.90493,0.98365,1,0.995,0.91841,0.60032,0.39518,0.67051,0.88746,0.00194324,0.00194324,0.00194324
88,51.1425,0.65294,0.3942,0.58096,0.89317,0.98719,1,0.995,0.90291,0.98719,1,0.995,0.91491,0.57845,0.37049,0.60923,0.88564,0.00194258,0.00194258,0.00194258
89,51.6981,0.65105,0.43299,0.57393,0.89622,0.99174,1,0.995,0.81764,0.99174,1,0.995,0.78223,0.70901,0.4503,0.54504,0.90785,0.00194192,0.00194192,0.00194192
90,52.2572,0.68699,0.58997,0.58266,0.90801,0.99113,1,0.995,0.88113,0.99113,1,0.995,0.79929,0.754,0.39528,0.47596,0.91911,0.00194126,0.00194126,0.00194126
91,52.8128,0.69927,0.49275,0.61931,0.90734,0.99002,1,0.995,0.8516,0.99002,1,0.995,0.88557,0.69746,0.44726,0.49679,0.91384,0.0019406,0.0019406,0.0019406
92,53.3716,0.65983,0.41874,0.59412,0.89735,0.98955,1,0.995,0.82394,0.98955,1,0.995,0.88,0.6176,0.60892,0.46418,0.88585,0.00193994,0.00193994,0.00193994
93,53.9399,0.7247,0.55864,0.59845,0.89081,0.98835,1,0.995,0.85796,0.98835,1,0.995,0.87585,0.57006,0.54996,0.51333,0.87636,0.00193928,0.00193928,0.00193928
94,54.4995,0.77722,0.59555,0.61517,0.92235,0.98553,1,0.995,0.81265,0.98553,1,0.995,0.89684,0.67095,0.3742,0.57532,0.89072,0.00193862,0.00193862,0.00193862
95,55.1523,0.723,0.52019,0.60263,0.92701,0.98577,1,0.995,0.77114,0.98577,1,0.995,0.91417,0.86013,0.39136,0.64412,0.92726,0.00193796,0.00193796,0.00193796
96,55.7047,0.66854,0.45453,0.59185,0.87485,0.98341,1,0.995,0.74938,0.98341,1,0.995,0.8822,0.84506,0.38831,0.52969,0.96186,0.0019373,0.0019373,0.0019373
97,56.2605,0.7099,0.55038,0.60655,0.8752,0.98149,1,0.995,0.73931,0.98149,1,0.995,0.88329,0.84999,0.4183,0.53232,0.96939,0.00193664,0.00193664,0.00193664
98,56.8132,0.69381,0.45869,0.5951,0.86853,0.97307,1,0.995,0.80801,0.97307,1,0.995,0.88646,0.80218,0.36951,0.51342,0.94007,0.00193598,0.00193598,0.00193598
99,57.3596,0.60169,0.42216,0.54733,0.87069,0.97335,1,0.995,0.80856,0.97335,1,0.995,0.86972,0.72068,0.35928,0.53357,0.9296,0.00193532,0.00193532,0.00193532
